Program;Length;WS;AS I;AS II;Test;Substitution
+ooo;4;[('', '000')];[('00100', '111'), ('100', '')];[('00101', '111'), ('101', ''), ('0', '111')];[('00110', '111'), ('00111', '111'), ('00', '111'), ('01000', '111'), ('01', '111')];1
+oo+o;5;[('10', ''), ('1', '')];[('1', ''), ('01', '11')];[('0101', '11'), ('101', ''), ('0', '11')];[('10101', ''), ('110', ''), ('10', ''), ('0110', '11'), ('11', '')];0
+o+o-o;6;[('0', '1'), ('1', '')];[('0011', '1'), ('1', '')];[('0', '1'), ('10011', ''), ('10100', '')];[('10101', ''), ('11', ''), ('00', '1'), ('011', '1'), ('100', '')];0
+o+oo;5;[('1', ''), ('10', '')];[('01', '1'), ('10', '')];[('00001', '1'), ('1', ''), ('0001', '1')];[('00010', '1'), ('0', '1'), ('0010', '1'), ('00011', '1'), ('00100', '1')];0
-o-oo;5;[('0', ''), ('00', '')];[('0101', ''), ('10101', '0')];[('101', '0'), ('1', '0'), ('0', '')];[('01', ''), ('10', '0'), ('110', '0'), ('0110', ''), ('11', '0')];0
-o-o+o;6;[('1', '0'), ('0', '')];[('00101', ''), ('00110', '')];[('101', '0'), ('0101', ''), ('01', '')];[('0110', ''), ('10', '0'), ('11', '0'), ('00', ''), ('0111', '')];0
-oo-o;5;[('000', '')];[('010', ''), ('0', '')];[('011', ''), ('100', '00'), ('10010', '00')];[('10011', '00'), ('10100', '00'), ('101', '00'), ('110', '00'), ('111', '00')];0
-ooo;4;[('', '111')];[('0111', ''), ('10111', '000')];[('1', '000'), ('1000', '000'), ('11000', '000')];[('11', '000'), ('1001', '000'), ('111', '000'), ('01', ''), ('11001', '000')];1
-[-oo];6;[('', '00'), ('0', '')];[('10100', ''), ('1', '')];[('100', ''), ('101', ''), ('00', '')];[('01', ''), ('0100', ''), ('0101', ''), ('10101', ''), ('110', '')];1
-[>+o<-];8;[('', '01'), ('0', '')];[('01', ''), ('001', '')];[('010', ''), ('10', '1'), ('00001', '')];[('0001', ''), ('0010', ''), ('011', ''), ('100', '1'), ('11', '')];1
-[o-];5;[('', '10'), ('0', '')];[('01', ''), ('01001', '')];[('10', '0'), ('01010', ''), ('1', '0')];[('11', '0'), ('001', ''), ('1001', '0'), ('1010', '0'), ('010', '')];1
+[o+];5;[('', '01'), ('1', '')];[('101', ''), ('0', '1')];[('01', '1'), ('110', ''), ('111', '')];[('00101', '1'), ('10', ''), ('00110', '1'), ('010', '1'), ('0101', '1')];1
+[>-o<+];8;[('', '10'), ('1', '')];[('1111', ''), ('01111', '0')];[('1011', ''), ('10000', ''), ('111', '')];[('1100', ''), ('1101', ''), ('011', '0'), ('0', '1'), ('10001', '')];1
+[+oo];6;[('', '11'), ('1', '')];[('01', ''), ('0001', '')];[('0010', ''), ('00001', ''), ('00010', '')];[('001', ''), ('10', ''), ('11', ''), ('00011', ''), ('0', '')];1
>+o;3;[('', '0'), ('01', '')];[('10', '1'), ('11', '')];[('00', '1'), ('1', '0'), ('01001', '')];[('1001', '1'), ('1010', '1'), ('0', '0'), ('01010', ''), ('1011', '1')];1
>-o;3;[('', '1'), ('10', '')];[('0110', '0'), ('0', '1')];[('1', '1'), ('110', '0'), ('11', '0')];[('00110', ''), ('111', '0'), ('0111', '0'), ('011', '0'), ('1000', '')];1
>oo;3;[('10', '00')];[('', ''), ('000', '00')];[('0000', '00'), ('00', '00'), ('0', '')];[('1', ''), ('001', '00'), ('01', '11'), ('00000', '00'), ('11', '11')];1
o>o;3;[('01', '01')];[('110', '11'), ('0110', '01')];[('11', '11'), ('0111', '01'), ('1000', '10')];[('0', '0'), ('00', '00'), ('10', '10'), ('1001', '10'), ('1010', '10')];1
>o<o;4;[('11', '11')];[('0100', '10'), ('', '')];[('0', ''), ('00100', '00'), ('00', '00')];[('00101', '00'), ('100', '01'), ('1', ''), ('101', '01'), ('110', '11')];0
-o>o;4;[('01', ''), ('00', '')];[('0100', ''), ('100', '00')];[('0', ''), ('10100', '00'), ('101', '00')];[('110', '01'), ('', '1'), ('0101', ''), ('111', '01'), ('00', '')];0
+o>o;4;[('11', ''), ('10', '')];[('011', '11'), ('100', '')];[('1011', ''), ('', '0'), ('01011', '11')];[('01100', '11'), ('101', ''), ('1100', ''), ('1', ''), ('1101', '')];0
+oooo;5;[('1010', '')];[('1', ''), ('11101', '')];[('101', ''), ('1101', ''), ('110', '')];[('1110', ''), ('11110', ''), ('1111', ''), ('0', '1111'), ('0101', '1111')];0
+ooo+o;6;[('1111', '')];[('1', ''), ('0', '111')];[('0111', '111'), ('00111', '111'), ('1000', '')];[('01000', '111'), ('11', ''), ('111', ''), ('110', ''), ('000', '111')];0
+oo+o-o;7;[('1011', '')];[('0', '11'), ('0000', '11')];[('00', '11'), ('00000', '11'), ('0001', '11')];[('1', ''), ('01', '11'), ('000', '11'), ('00001', '11'), ('10', '')];0
+oo+oo;6;[('00', '11')];[('010', '11'), ('0', '11')];[('01010', '11'), ('011', '11'), ('01011', '11')];[('01100', '11'), ('10', ''), ('100', ''), ('01101', '11'), ('01110', '11')];0
+o+o-oo;7;[('101', ''), ('1', '')];[('0', '1'), ('1', '')];[('0000', '1'), ('00', '1'), ('10000', '')];[('000', '1'), ('001', '1'), ('10001', ''), ('0001', '1'), ('10010', '')];0
+o+o-o+o;8;[('101', ''), ('1', '')];[('10', ''), ('0', '1')];[('11', ''), ('1', ''), ('11110', '')];[('00', '1'), ('110', ''), ('11111', ''), ('11001', ''), ('11010', '')];0
+o+oo-o;7;[('1011', '')];[('10101', ''), ('0101', '1')];[('10110', ''), ('1', ''), ('101', '')];[('0110', '1'), ('0111', '1'), ('110', ''), ('1000', ''), ('1001', '')];0
+o+ooo;6;[('101', ''), ('1', '')];[('01', '1'), ('1001', '')];[('11001', ''), ('1', ''), ('0', '1')];[('001', '1'), ('11010', ''), ('10', ''), ('010', '1'), ('011', '1')];0
-o-ooo;6;[('0', ''), ('001', '')];[('111', '0'), ('11', '0')];[('1', '0'), ('0', ''), ('01', '')];[('10', '0'), ('00', ''), ('01111', ''), ('10000', '0'), ('10001', '0')];0
-o-oo+o;7;[('11', '0'), ('0', '')];[('101', '0'), ('1', '0')];[('1101', '0'), ('01', ''), ('0', '')];[('1110', '0'), ('01101', ''), ('110', '0'), ('10', '0'), ('111', '0')];0
-o-o+o-o;8;[('11', '0'), ('0', '')];[('10101', '0'), ('1', '0')];[('101', '0'), ('0101', ''), ('110', '0')];[('01', ''), ('0110', ''), ('10110', '0'), ('10', '0'), ('111', '0')];0
-o-o+oo;7;[('00', ''), ('1', '0')];[('1', '0'), ('111', '0')];[('0', ''), ('01111', ''), ('11', '0')];[('10', '0'), ('10000', '0'), ('1111', '0'), ('10001', '0'), ('01', '')];0
-oo-oo;6;[('01', ''), ('00', '')];[('0011', ''), ('1', '00')];[('11', '00'), ('0100', ''), ('00011', '')];[('00', ''), ('10', '00'), ('011', ''), ('0', ''), ('00100', '')];0
-oo-o+o;7;[('0', ''), ('011', '')];[('01', ''), ('10001', '00')];[('0001', ''), ('10', '00'), ('1', '00')];[('0010', ''), ('0', ''), ('0011', ''), ('11', '00'), ('001', '')];0
-ooo-o;6;[('0', ''), ('000', '')];[('01', ''), ('101', '000')];[('1101', '000'), ('1', '000'), ('10', '000')];[('11', '000'), ('110', '000'), ('00', ''), ('111', '000'), ('0', '')];0
-oooo;5;[('0011', '')];[('0011', ''), ('011', '')];[('100', '0000'), ('1', '0000'), ('101', '0000')];[('0100', ''), ('110', '0000'), ('11', '0000'), ('00011', ''), ('0101', '')];0
->-[<-o];8;[('01', '11')];[('010', '11'), ('0', '11')];[('11', ''), ('01', '11'), ('0010', '')];[('0011', ''), ('011', '11'), ('10', ''), ('10010', ''), ('0100', '11')];0
>+oo;4;[('', '00'), ('01', '')];[('01100', ''), ('01101', '')];[('1100', ''), ('100', '11'), ('0', '00')];[('00', '11'), ('1', '00'), ('1101', ''), ('101', '11'), ('01110', '')];1
>+o<-o;6;[('1101', '')];[('00100', '1'), ('00', '1')];[('00101', '1'), ('0100', ''), ('0', '0')];[('1', '00'), ('100', '10'), ('10', '10'), ('101', '10'), ('11', '')];0
-o>+o;5;[('0', ''), ('000', '')];[('0', ''), ('1', '00')];[('11', '0'), ('1110', '0'), ('00', '')];[('1111', '0'), ('10', '01'), ('01110', ''), ('110', '0'), ('01111', '')];0
+o>-o;5;[('1100', '')];[('10100', ''), ('10101', '')];[('0100', '10'), ('100', ''), ('101', '')];[('0101', '10'), ('110', ''), ('0', '11'), ('0110', '10'), ('0111', '10')];0
>-o<+o;6;[('110', '0')];[('0011', ''), ('011', '01')];[('01', '01'), ('11', '0'), ('0100', '01')];[('0101', '01'), ('00', ''), ('0110', '01'), ('1', '1'), ('0111', '01')];0
>-oo;4;[('', '11'), ('10', '')];[('111', '00'), ('11111', '00')];[('010', '00'), ('10010', ''), ('1', '11')];[('10011', ''), ('0', '11'), ('10100', ''), ('10101', ''), ('10110', '')];1
+>+[<+o];8;[('0001', '')];[('0110', ''), ('10', '00')];[('0111', ''), ('110', ''), ('10110', '00')];[('00', ''), ('01', ''), ('0', ''), ('1000', '00'), ('1', '00')];0
+ooooo;6;[('10010', '')];[('110', ''), ('0', '11111')];[('01110', '11111'), ('1110', ''), ('1', '')];[('01111', '11111'), ('10000', ''), ('1111', ''), ('0110', '11111'), ('10001', '')];0
+oooo+o;7;[('11', ''), ('10', ''), ('1', '')];[('1011', ''), ('1100', '')];[('1', ''), ('0', '1111'), ('011', '1111')];[('11', ''), ('01011', '1111'), ('100', ''), ('01', '1111'), ('1101', '')];0
+ooo+o-o;8;[('110', ''), ('11', '')];[('0', '111'), ('1000', '')];[('000', '111'), ('001', '111'), ('11000', '')];[('1', ''), ('00', '111'), ('01', '111'), ('11001', ''), ('10', '')];0
+ooo+oo;7;[('10', ''), ('111', '')];[('110', ''), ('111', '')];[('0', '111'), ('1', ''), ('0110', '111')];[('10', ''), ('010', '111'), ('11', ''), ('10110', ''), ('10111', '')];0
+oo+o-oo;8;[('1', ''), ('1001', '')];[('1110', ''), ('10', '')];[('11', ''), ('11110', ''), ('00', '11')];[('11111', ''), ('110', ''), ('1111', ''), ('01', '11'), ('1011', '')];0
>+[o<+o+];9;[('001', '11')];[('0', '01'), ('1', '0')];[('1000', '1'), ('00', '11'), ('01', '')];[('10', '1'), ('000', '11'), ('001', '11'), ('11', ''), ('010', '')];0
+oo+oo-o;8;[('10', ''), ('1', ''), ('11', '')];[('01', '11'), ('1', '')];[('001', '11'), ('010', '11'), ('10', '')];[('011', '11'), ('0', '11'), ('00001', '11'), ('100', ''), ('00010', '11')];0
+oo+ooo;7;[('11010', '')];[('10111', ''), ('11000', '')];[('0111', '11'), ('1', ''), ('0', '11')];[('11', ''), ('11001', ''), ('1000', ''), ('11010', ''), ('1001', '')];0
+o+o-ooo;8;[('0', '1'), ('110', '')];[('1', ''), ('01', '1')];[('0', '1'), ('00101', '1'), ('00110', '1')];[('0101', '1'), ('0110', '1'), ('00111', '1'), ('101', ''), ('0111', '1')];0
+o+o-oo+o;9;[('11011', '')];[('111', ''), ('0111', '1')];[('10111', ''), ('1', ''), ('101', '')];[('0', '1'), ('11', ''), ('01', '1'), ('110', ''), ('1000', '')];0
>+[o<-o-];9;[('11000', '')];[('01111', ''), ('1111', '')];[('111', ''), ('100', '10'), ('1100', '')];[('1101', ''), ('11', ''), ('101', '10'), ('10000', '10'), ('1', '00')];0
+o+o-o+oo;9;[('0', '1'), ('11', ''), ('1', '')];[('0011', '1'), ('11', '')];[('1', ''), ('0100', '1'), ('0101', '1')];[('0110', '1'), ('01', '1'), ('10', ''), ('011', '1'), ('00', '1')];0
+o+oo-oo;8;[('011', '1'), ('1', '')];[('0011', '1'), ('011', '1')];[('0100', '1'), ('0101', '1'), ('100', '')];[('1', ''), ('101', ''), ('11', ''), ('00011', '1'), ('10', '')];0
+o+oo-o+o;9;[('100', ''), ('0', '1')];[('010', '1'), ('0', '1')];[('1', ''), ('0010', '1'), ('0011', '1')];[('0100', '1'), ('10010', ''), ('011', '1'), ('10011', ''), ('0101', '1')];0
+o+ooo-o;8;[('1', ''), ('1110', '')];[('010', '1'), ('10', '')];[('11', ''), ('0', '1'), ('01010', '1')];[('1', ''), ('00', '1'), ('011', '1'), ('100', ''), ('01011', '1')];0
+o+oooo;7;[('000', '1'), ('1', '')];[('010', '1'), ('0', '1')];[('01010', '1'), ('1010', ''), ('01011', '1')];[('1011', ''), ('011', '1'), ('10', ''), ('1', ''), ('1100', '')];0
-o-oooo;7;[('1100', '0')];[('10100', '0'), ('0', '')];[('10101', '0'), ('10110', '0'), ('0100', '')];[('1', '0'), ('00', ''), ('0101', ''), ('01', ''), ('10111', '0')];0
-o-ooo+o;8;[('110', '0'), ('0', '')];[('0110', ''), ('0111', '')];[('1000', '0'), ('0', ''), ('10', '0')];[('00110', ''), ('1', '0'), ('110', '0'), ('1001', '0'), ('1010', '0')];0
-o-oo+o-o;9;[('0', ''), ('0101', '')];[('0', ''), ('1', '0')];[('00', ''), ('000', ''), ('11000', '0')];[('01', ''), ('10', '0'), ('11001', '0'), ('001', ''), ('11', '0')];0
-o-oo+oo;8;[('1101', '0')];[('0011', ''), ('10011', '0')];[('0100', ''), ('011', ''), ('1', '0')];[('100', '0'), ('10100', '0'), ('11', '0'), ('101', '0'), ('0101', '')];0
-o-o+o-oo;9;[('111', '0'), ('0', '')];[('1011', '0'), ('011', '')];[('1100', '0'), ('11011', '0'), ('100', '0')];[('101', '0'), ('110', '0'), ('1', '0'), ('1101', '0'), ('1110', '0')];0
>+[+o<+o];9;[('10100', '')];[('010', ''), ('011', '')];[('100', ''), ('10010', ''), ('10011', '')];[('101', ''), ('10100', ''), ('110', ''), ('10101', ''), ('10', '')];0
-o-o+oo-o;9;[('11', '0'), ('01', '')];[('010', ''), ('011', '')];[('1010', '0'), ('100', '0'), ('1011', '0')];[('11010', '0'), ('101', '0'), ('110', '0'), ('111', '0'), ('10', '0')];0
-o-o+ooo;8;[('100', '0'), ('0', '')];[('0101', ''), ('00101', '')];[('1', '0'), ('01', ''), ('0', '')];[('00110', ''), ('00111', ''), ('10', '0'), ('0110', ''), ('11', '0')];0
-oo-ooo;7;[('00', ''), ('1', '00')];[('1011', '00'), ('011', '')];[('1', '00'), ('1100', '00'), ('100', '00')];[('11', '00'), ('0', ''), ('1101', '00'), ('11011', '00'), ('11100', '00')];0
-oo-oo+o;8;[('0100', ''), ('0', '')];[('10', '00'), ('0110', '')];[('110', '00'), ('10110', '00'), ('111', '00')];[('11', '00'), ('0', ''), ('10111', '00'), ('001', ''), ('1', '00')];0
>-[o<-o-];9;[('0100', '0')];[('10100', ''), ('100', '')];[('10101', ''), ('10110', ''), ('00', '')];[('01', '0'), ('101', ''), ('0100', '0'), ('10', ''), ('110', '00')];0
-oo-o+oo;8;[('0', ''), ('01', ''), ('00', '')];[('010', ''), ('1010', '00')];[('10', '00'), ('1011', '00'), ('11010', '00')];[('1100', '00'), ('11011', '00'), ('0', ''), ('011', ''), ('1101', '00')];0
-ooo-oo;7;[('00', ''), ('011', '')];[('010', ''), ('011', '')];[('11010', '000'), ('1010', '000'), ('10', '000')];[('11', '000'), ('11011', '000'), ('00', ''), ('100', '000'), ('101', '000')];0
-ooo-o+o;8;[('0', ''), ('1', '000')];[('01', ''), ('0001', '')];[('10', '000'), ('1', '000'), ('11', '000')];[('0', ''), ('001', ''), ('00001', ''), ('00010', ''), ('00', '')];0
-oooo-o;7;[('0010', ''), ('0', '')];[('0', ''), ('1', '0000')];[('1000', '0000'), ('00', ''), ('000', '')];[('01000', ''), ('001', ''), ('010', ''), ('011', ''), ('100', '0000')];0
-ooooo;6;[('01011', '')];[('1111', '00000'), ('11', '00000')];[('1011', '00000'), ('01', ''), ('1', '00000')];[('11111', '00000'), ('0', ''), ('01011', ''), ('01100', ''), ('01101', '')];0
+[-o];5;[('0', '0'), ('1', '')];[('', ''), ('0000', '0')];[('000', '0'), ('001', '0'), ('010', '0')];[('0001', '0'), ('00', '0'), ('01', '0'), ('10', ''), ('11', '')];1
ooo;3;[('0', '000')];[('1', '111'), ('111', '111')];[('001', '000'), ('11', '111'), ('01', '000')];[('0111', '000'), ('00111', '000'), ('1000', '111'), ('010', '000'), ('011', '000')];1
oo+o;4;[('', ''), ('10', '11')];[('00101', '001'), ('1', '11')];[('01', '001'), ('101', '11'), ('', '')];[('110', '11'), ('0101', '001'), ('111', '11'), ('001', '001'), ('010', '001')];0
-oo+o;5;[('0', ''), ('011', '')];[('', '11'), ('00000', '')];[('0', ''), ('0000', ''), ('00', '')];[('01', ''), ('0001', ''), ('10', '001'), ('0010', ''), ('00001', '')];0
o+o-o;5;[('111', '1')];[('10', '1'), ('1', '1')];[('1110', '1'), ('1111', '1'), ('11', '1')];[('110', '1'), ('111', '1'), ('01110', '010'), ('00', '010'), ('01', '010')];0
-o+o-o;6;[('0', ''), ('01', ''), ('', '1')];[('', '1'), ('0', '')];[('110', '010'), ('10', '010'), ('1110', '010')];[('1111', '010'), ('11', '010'), ('00', ''), ('11110', '010'), ('0000', '')];0
o+oo;4;[('', ''), ('111', '1')];[('011', '011'), ('1', '1')];[('100', '1'), ('11', '1'), ('0011', '011')];[('01', '011'), ('0100', '011'), ('00011', '011'), ('00100', '011'), ('0101', '011')];0
-o+oo;5;[('001', ''), ('0', '')];[('00110', ''), ('00111', '')];[('01000', ''), ('', '1'), ('110', '011')];[('0', ''), ('0110', ''), ('10', '011'), ('0111', ''), ('111', '011')];0
+o-oo;5;[('101', ''), ('1', '')];[('', '0'), ('000', '100')];[('00000', '100'), ('00001', '100'), ('1', '')];[('00', '100'), ('01', '100'), ('10', ''), ('11', ''), ('001', '100')];0
o-oo;4;[('001', '0')];[('0100', '0'), ('0101', '0')];[('0110', '0'), ('0111', '0'), ('100', '100')];[('0', '0'), ('00', '0'), ('01', '0'), ('', ''), ('10', '100')];0
+o-o+o;6;[('', '0'), ('110', '')];[('0100', '101'), ('100', '')];[('', '0'), ('00', '101'), ('1', '')];[('0101', '101'), ('00100', '101'), ('0110', '101'), ('01', '101'), ('0111', '101')];0
o-o+o;5;[('000', '0')];[('00101', '0'), ('0101', '0')];[('01', '0'), ('10', '101'), ('0110', '0')];[('11', '101'), ('00110', '0'), ('', ''), ('0', '0'), ('101', '101')];0
+oo-o;5;[('110', ''), ('1', '')];[('10', ''), ('010', '110')];[('11', ''), ('011', '110'), ('1010', '')];[('00', '110'), ('', '00'), ('1', ''), ('100', ''), ('01010', '110')];0
oo-o;4;[('', ''), ('00', '00')];[('10', '110'), ('', '')];[('11', '110'), ('010', '00'), ('011', '00')];[('10010', '110'), ('0', '00'), ('0010', '00'), ('0011', '00'), ('0100', '00')];0
+oooooo;7;[('100', ''), ('101', '')];[('0101', '111111'), ('10101', '')];[('01', '111111'), ('101', ''), ('110', '')];[('10', ''), ('11', ''), ('0110', '111111'), ('0111', '111111'), ('1', '')];0
+ooooo+o;8;[('1', ''), ('10001', '')];[('0', '11111'), ('1', '')];[('10', ''), ('1110', ''), ('11', '')];[('00', '11111'), ('1111', ''), ('0000', '11111'), ('110', ''), ('01', '11111')];0
+oooo+o-o;9;[('101', ''), ('1', ''), ('11', '')];[('0', '1111'), ('0000', '1111')];[('0001', '1111'), ('00', '1111'), ('000', '1111')];[('01', '1111'), ('0010', '1111'), ('1', ''), ('00000', '1111'), ('10', '')];0
+oooo+oo;8;[('10', ''), ('1', ''), ('110', '')];[('010', '1111'), ('011', '1111')];[('100', ''), ('101', ''), ('10', '')];[('00010', '1111'), ('00011', '1111'), ('0', '1111'), ('1', ''), ('0010', '1111')];0
+ooo+o-oo;9;[('00', '111'), ('1', '')];[('1', ''), ('111', '')];[('0', '111'), ('00111', '111'), ('11', '')];[('01000', '111'), ('00', '111'), ('0111', '111'), ('01001', '111'), ('10', '')];0
>+o[o<+o+];10;[('1', '00'), ('010', '')];[('010', ''), ('0', '001')];[('00010', '111'), ('10', '11'), ('00011', '111')];[('0010', '111'), ('1', '00'), ('011', ''), ('00100', '111'), ('00101', '111')];0
+ooo+oo-o;9;[('10', ''), ('1110', '')];[('111', ''), ('010', '111')];[('01111', '111'), ('1', ''), ('10000', '')];[('1111', ''), ('011', '111'), ('100', ''), ('11', ''), ('1010', '')];0
+[ooo+];7;[('000', '111')];[('110', ''), ('11110', '')];[('111', ''), ('10', ''), ('1110', '')];[('101', ''), ('1111', ''), ('11', ''), ('00', '111'), ('0', '111')];0
+oo+o-ooo;9;[('0001', '11')];[('01110', '11'), ('10', '')];[('110', ''), ('11', ''), ('0', '11')];[('01111', '11'), ('10000', ''), ('10001', ''), ('10010', ''), ('1110', '')];0
+[oo+o<+];9;[('110', ''), ('0', '11')];[('101', ''), ('1101', '')];[('11101', ''), ('1110', ''), ('1111', '')];[('1', ''), ('110', ''), ('0010', '11'), ('111', ''), ('0', '11')];0
>+o[o<-o-];10;[('1', '000'), ('01', '')];[('110', ''), ('10', '110')];[('0110', ''), ('0', '00'), ('00110', '11')];[('11', ''), ('00', '11'), ('1', '000'), ('111', ''), ('010', '')];0
>+[o<+o+]o;10;[('0010', '11')];[('01', ''), ('01001', '')];[('001', '11'), ('01010', ''), ('01011', '')];[('1001', '1'), ('1010', '1'), ('10', '1'), ('01100', ''), ('11', '')];0
+>+[oo<+];9;[('0010', '11')];[('010', ''), ('0010', '11')];[('011', ''), ('100', '110000'), ('101', '110000')];[('10010', '110000'), ('10', '110000'), ('0011', '11'), ('11', ''), ('0', '00')];0
+oo+oo-o+o;10;[('0', '11'), ('10', ''), ('1', '')];[('1', ''), ('0', '11')];[('11111', ''), ('11', ''), ('111', '')];[('000', '11'), ('00', '11'), ('10', ''), ('01', '11'), ('001', '11')];0
+oo+ooo-o;9;[('11101', ''), ('1', '')];[('01', '11'), ('1001', '')];[('001', '11'), ('010', '11'), ('10', '')];[('1', ''), ('1010', ''), ('011', '11'), ('11001', ''), ('1011', '')];0
>+[oo<-];8;[('0111', ''), ('11', '')];[('0011', '11'), ('10011', '110011')];[('11', ''), ('10', '110011'), ('011', '')];[('0100', ''), ('1', '000011'), ('100', '110011'), ('0', '00'), ('01', '')];0
+o+o-oooo;9;[('01', '1'), ('10', ''), ('1', '')];[('01', '1'), ('001', '1')];[('10', ''), ('010', '1'), ('011', '1')];[('100', ''), ('101', ''), ('110', ''), ('111', ''), ('1', '')];0
+o+o-ooo+o;10;[('1', ''), ('00', '1'), ('0', '1')];[('01', '1'), ('1', '')];[('0', '1'), ('10', ''), ('00001', '1')];[('00010', '1'), ('001', '1'), ('11', ''), ('0001', '1'), ('00011', '1')];0
+[o+o-o<+];10;[('10', ''), ('011', '1')];[('0011', '1'), ('1', '')];[('011', '1'), ('100', ''), ('00011', '1')];[('00100', '1'), ('0', '1'), ('0100', '1'), ('0101', '1'), ('0110', '1')];0
+o+o-oo+oo;10;[('011', '1'), ('0', '1')];[('1111', ''), ('1011', '')];[('1100', ''), ('11111', ''), ('1', '')];[('111', ''), ('11011', ''), ('11', ''), ('1101', ''), ('11100', '')];0
>+[o<-o-]o;10;[('00', '1'), ('011', '')];[('11', ''), ('01', '')];[('111', ''), ('11111', ''), ('001', '1')];[('010', ''), ('10', '10'), ('011', ''), ('110', ''), ('1', '00')];0
>+[o+o<+];9;[('10011', '1')];[('1110', ''), ('0', '011')];[('1111', ''), ('10', '1'), ('11', '')];[('00', '1'), ('01', ''), ('0110', ''), ('0111', ''), ('11110', '')];0
+o+o-o+oo-o;11;[('1', ''), ('01', '1'), ('0', '1')];[('010', '1'), ('10', '')];[('11', ''), ('011', '1'), ('00', '1')];[('11010', ''), ('100', ''), ('0', '1'), ('1', ''), ('01', '1')];0
+o+o-o+ooo;10;[('00', '1'), ('01', '1')];[('00100', '1'), ('0', '1')];[('00101', '1'), ('00110', '1'), ('00', '1')];[('01', '1'), ('00111', '1'), ('01000', '1'), ('1', ''), ('0100', '1')];0
+o+oo-ooo;9;[('10000', ''), ('1', '')];[('0', '1'), ('1', '')];[('00', '1'), ('1000', ''), ('1001', '')];[('01', '1'), ('1010', ''), ('000', '1'), ('01000', '1'), ('01001', '1')];0
+o+oo-oo+o;10;[('10011', ''), ('1', '')];[('10', ''), ('11', '')];[('0110', '1'), ('110', ''), ('10110', '')];[('0', '1'), ('00', '1'), ('1', ''), ('0111', '1'), ('1000', '')];0
>+o+[o<-o-];11;[('00', '1'), ('111', '')];[('0101', ''), ('10101', '1')];[('101', '1'), ('1', '010'), ('01', '')];[('110', ''), ('10110', '1'), ('0110', ''), ('10111', '1'), ('111', '')];0
+[o+oo<+];9;[('0', '1'), ('11', ''), ('10', '')];[('10', ''), ('11', '')];[('00', '1'), ('110', ''), ('111', '')];[('001', '1'), ('010', '1'), ('100', ''), ('01', '1'), ('1110', '')];0
