Program	Witness Set
+o+ooo-oo	(('', '011100'))
+o+ooo-o+o	(('', '011101'))
+o+oooo-o	(('', '011110'))
+o+ooooo	(('', '011111'))
-o-ooooo	(('', '100000'))
-o-oooo+o	(('', '100001'))
-o-ooo+o-o	(('', '100010'))
-o-ooo+oo	(('', '100011'))
-[o-oo<-]	(('', '100100'))
>-o-[o<+o+]	(('', '100101'))
-o-oo+oo-o	(('', '100110'))
-o-oo+ooo	(('', '100111'))
-o-o+o-ooo	(('', '101000'))
-o-o+o-oo+o	(('', '101001'))
>-[o-o<-]	(('', '101010'))
>+[+o<+o]o	(('', '101011'))
-o-o+oo-oo	(('', '101100'))
-[o-o+o<-]	(('', '101101'))
-o-o+ooo-o	(('', '101110'))
-o-o+oooo	(('', '101111'))
>-[oo<+]	(('', '110000'))
-oo-ooo+o	(('', '110001'))
-oo-oo+o-o	(('', '110010'))
->-[oo<-]	(('', '110011'))
>-[o<-o-]o	(('', '110100'))
>-o[o<+o+]	(('', '110101'))
-[oo-o<-]	(('', '110110'))
-oo-o+ooo	(('', '110111'))
-[ooo-]	(('', '111000'))
-ooo-oo+o	(('', '111001'))
>-o[o<-o-]	(('', '111010'))
-ooo-o+oo	(('', '111011'))
-oooo-oo	(('', '111100'))
-oooo-o+o	(('', '111101'))
-ooooo-o	(('', '111110'))
-oooooo	(('', '111111'))
-[+o]	(('0', ''), ('1', '1'))
[<+]+o	(('', '0'), ('1', '1'))
[<-]-o	(('', '1'), ('0', '0'))
-[-ooo]	(('', '000'), ('0', ''))
-[>+o<-o]	(('', '001'), ('0', ''))
-[-o<-o]	(('', '010'), ('0', ''))
-[<+o+oo]	(('', '011'), ('0', ''))
-[o-o]	(('', '100'), ('0', ''))
-[o<+o+]	(('', '101'), ('0', ''))
-o[o-]	(('', '110'), ('0', ''))
>[<o]	(('01', '0'), ('1', ''))
+[-oo]	(('0', '00'), ('1', ''))
+[>+o<-]	(('0', '01'), ('1', ''))
+[o-]	(('0', '10'), ('1', ''))
+o[o+]	(('', '001'), ('1', ''))
+[o<-o-]	(('', '010'), ('1', ''))
+[o+o]	(('', '011'), ('1', ''))
+[<-o-oo]	(('', '100'), ('1', ''))
+[+o<+o]	(('', '101'), ('1', ''))
+[>-o<+o]	(('', '110'), ('1', ''))
+[+ooo]	(('', '111'), ('1', ''))
>>+o	(('', '0'), ('001', ''))
>>-o	(('', '1'), ('110', ''))
>-[<o]	(('0', '0'), ('00', ''))
>+[+o]	(('0', '1'), ('01', ''))
>-[-o]	(('1', '0'), ('10', ''))
>+[<o]	(('1', '1'), ('11', ''))
>o>o	(('101', '01'))
>ooo	(('10', '000'))
oo>o	(('01', '001'))
>oo<o	(('10', '001'))
-oo>o	(('11', '001'))
o+o>o	(('00', '010'))
o>o<o	(('01', '010'))
>o<o>o	(('10', '010'))
-o>o<o	(('11', '010'))
o>oo	(('01', '011'))
>o<oo	(('10', '011'))
-o>oo	(('11', '011'))
+o>oo	(('00', '100'))
+o>o<o	(('00', '101'))
o-o>o	(('11', '101'))
+oo>o	(('00', '110'))
oooo	(('0', '0000'))
ooo+o	(('0', '0001'))
-ooo+o	(('1', '0001'))
oo+o-o	(('0', '0010'))
-oo+o-o	(('1', '0010'))
oo+oo	(('0', '0011'))
-oo+oo	(('1', '0011'))
o+o-oo	(('0', '0100'))
-o+o-oo	(('1', '0100'))
o+o-o+o	(('0', '0101'))
>>+[o<-]	(('1', '0101'))
o+oo-o	(('0', '0110'))
-o+oo-o	(('1', '0110'))
o+ooo	(('0', '0111'))
-o+ooo	(('1', '0111'))
+o-ooo	(('0', '1000'))
o-ooo	(('1', '1000'))
+o-oo+o	(('0', '1001'))
o-oo+o	(('1', '1001'))
>>-[o<+]	(('0', '1010'))
o-o+o-o	(('1', '1010'))
+o-o+oo	(('0', '1011'))
o-o+oo	(('1', '1011'))
+oo-oo	(('0', '1100'))
oo-oo	(('1', '1100'))
+oo-o+o	(('0', '1101'))
oo-o+o	(('1', '1101'))
+ooo-o	(('0', '1110'))
ooo-o	(('1', '1110'))
>[+o]	(('0', ''), ('00', '1'))
-[o+]	(('0', ''), ('1', '01'))
-[>-o<+]	(('0', ''), ('1', '10'))
-[+oo]	(('0', ''), ('1', '11'))
>[-o]	(('1', ''), ('11', '0'))
<+o	(('', '0'), ('00', '0'))
+[<]>o	(('', '0'), ('11', '1'))
>+o<o	(('', '0'), ('0', '00'))
>-[-o<]	(('', '0'), ('1', '00'))
[<+o]+o	(('', '0'), ('0', '01'))
[o>]+o	(('', '0'), ('1', '10'))
+o-[+o]	(('', '0'), ('0', '11'))
[o<-]+o	(('', '0'), ('1', '11'))
-[<]>o	(('', '1'), ('00', '0'))
<-o	(('', '1'), ('00', '1'))
[o<+]-o	(('', '1'), ('0', '00'))
-o+[-o]	(('', '1'), ('1', '00'))
[o>]-o	(('', '1'), ('0', '01'))
>-o<o	(('', '1'), ('0', '10'))
[<-o]-o	(('', '1'), ('1', '10'))
>+[+o<]	(('', '1'), ('0', '11'))
->-[-o<]	(('', '00'), ('0', '0'))
-[o>]+o	(('', '10'), ('0', '0'))
-[o<-]+o	(('', '11'), ('0', '0'))
>+o<+o	(('', '00'), ('1', '0'))
+[<+o]+o	(('', '01'), ('1', '0'))
-o-[+o]	(('', '11'), ('1', '0'))
+o+[-o]	(('', '00'), ('0', '1'))
>-o<-o	(('', '11'), ('0', '1'))
+[o<+]-o	(('', '00'), ('1', '1'))
+[o>]-o	(('', '01'), ('1', '1'))
+>+[+o<]	(('', '11'), ('1', '1'))
-[-oo<-]	(('', '0000'), ('0', ''))
-[>+o<-oo]	(('', '0001'), ('0', ''))
-[-o<+o+o]	(('', '0010'), ('0', ''))
-[>+oo<-]	(('', '0011'), ('0', ''))
-[-o<-o]o	(('', '0100'), ('0', ''))
-[-o+o<-]	(('', '0101'), ('0', ''))
-[>+o<o-]	(('', '0110'), ('0', ''))
-[>+[o<]>]	(('', '0111'), ('0', ''))
-[o-oo]	(('', '1000'), ('0', ''))
-[o>+o<-]	(('', '1001'), ('0', ''))
-[o-o<-]	(('', '1010'), ('0', ''))
-[o<+o+o]	(('', '1011'), ('0', ''))
-[oo-]	(('', '1100'), ('0', ''))
-o[o<+o+]	(('', '1101'), ('0', ''))
-oo[o-]	(('', '1110'), ('0', ''))
>[<oo]	(('01', '00'), ('1', ''))
>o<+o	(('00', '01'), ('1', ''))
+>[<-o]	(('01', '01'), ('1', ''))
>[o<]	(('01', '10'), ('1', ''))
+oo[o+]	(('', '0001'), ('1', ''))
+o[o<-o-]	(('', '0010'), ('1', ''))
+[oo+]	(('', '0011'), ('1', ''))
+[o<-o-o]	(('', '0100'), ('1', ''))
+[o+o<+]	(('', '0101'), ('1', ''))
+[o>-o<+]	(('', '0110'), ('1', ''))
+[o+oo]	(('', '0111'), ('1', ''))
+[>-[o<]>]	(('', '1000'), ('1', ''))
+[>-o<o+]	(('', '1001'), ('1', ''))
+[+o-o<+]	(('', '1010'), ('1', ''))
+[+o<+o]o	(('', '1011'), ('1', ''))
+[>-oo<+]	(('', '1100'), ('1', ''))
+[+o<-o-o]	(('', '1101'), ('1', ''))
+[>-o<+oo]	(('', '1110'), ('1', ''))
+[+oo<+]	(('', '1111'), ('1', ''))
>>>+o	(('', '0'), ('0001', ''))
>>>-o	(('', '1'), ('1110', ''))
>-[<oo]	(('0', '00'), ('00', ''))
+>-[<-o]	(('0', '01'), ('00', ''))
>-[o<]	(('0', '10'), ('00', ''))
>-[<+o+]o	(('', '001'), ('00', ''))
->-[<-o]o	(('', '011'), ('00', ''))
->-[o<-]	(('', '101'), ('00', ''))
>+[o+]	(('0', '01'), ('01', ''))
>+[<+o]	(('0', '10'), ('01', ''))
>+ooo	(('', '000'), ('01', ''))
>+oo<-o	(('', '001'), ('01', ''))
>+o<-o>o	(('', '010'), ('01', ''))
>+o<-oo	(('', '011'), ('01', ''))
-o>+oo	(('', '100'), ('01', ''))
-o>+o<o	(('', '101'), ('01', ''))
-oo>+o	(('', '110'), ('01', ''))
+[>o]	(('00', '0'), ('10', ''))
>-[<-o]	(('1', '01'), ('10', ''))
>-[o-]	(('1', '10'), ('10', ''))
+oo>-o	(('', '001'), ('10', ''))
+o>-o<o	(('', '010'), ('10', ''))
+o>-oo	(('', '011'), ('10', ''))
>-o<+oo	(('', '100'), ('10', ''))
>-o<+o>o	(('', '101'), ('10', ''))
>-oo<+o	(('', '110'), ('10', ''))
>-ooo	(('', '111'), ('10', ''))
>+[-o]	(('10', '0'), ('11', ''))
>+[o<]	(('1', '01'), ('11', ''))
+o>+o	(('0', '10'), ('11', ''))
->+[<+o]	(('1', '10'), ('11', ''))
>+[<oo]	(('1', '11'), ('11', ''))
+>+[o<+]	(('', '010'), ('11', ''))
+>+[<+o]o	(('', '100'), ('11', ''))
>+[<-o-]o	(('', '110'), ('11', ''))
>>+oo	(('', '00'), ('001', ''))
>>+o<-o	(('', '01'), ('001', ''))
>+o>-o	(('', '01'), ('010', ''))
>-o>+o	(('', '10'), ('101', ''))
>>-o<+o	(('', '10'), ('110', ''))
>>-oo	(('', '11'), ('110', ''))
>oooo	(('10', '0000'))
ooo>o	(('01', '0001'))
>ooo<o	(('10', '0001'))
-ooo>o	(('11', '0001'))
oo+o>o	(('00', '0010'))
oo>o<o	(('01', '0010'))
>oo<o>o	(('10', '0010'))
-oo>o<o	(('11', '0010'))
oo>oo	(('01', '0011'))
>oo<oo	(('10', '0011'))
-oo>oo	(('11', '0011'))
o+o>oo	(('00', '0100'))
o>o<oo	(('01', '0100'))
>o<o>oo	(('10', '0100'))
-o>o<oo	(('11', '0100'))
[o+o>]	(('00', '0101'))
o>o<o>o	(('01', '0101'))
-[o+o>]	(('10', '0101'))
[-o+o>]	(('11', '0101'))
o+oo>o	(('00', '0110'))
o>oo<o	(('01', '0110'))
>o<oo>o	(('10', '0110'))
-o>oo<o	(('11', '0110'))
o>ooo	(('01', '0111'))
>o<ooo	(('10', '0111'))
-o>ooo	(('11', '0111'))
+o>ooo	(('00', '1000'))
+o>oo<o	(('00', '1001'))
o-oo>o	(('11', '1001'))
[+o-o>]	(('00', '1010'))
+[o-o>]	(('01', '1010'))
[o-o>]	(('11', '1010'))
+o>o<oo	(('00', '1011'))
o-o>oo	(('11', '1011'))
+oo>oo	(('00', '1100'))
+oo>o<o	(('00', '1101'))
oo-o>o	(('11', '1101'))
+ooo>o	(('00', '1110'))
ooooo	(('0', '00000'))
oooo+o	(('0', '00001'))
-oooo+o	(('1', '00001'))
ooo+o-o	(('0', '00010'))
-ooo+o-o	(('1', '00010'))
ooo+oo	(('0', '00011'))
-ooo+oo	(('1', '00011'))
oo+o-oo	(('0', '00100'))
-oo+o-oo	(('1', '00100'))
oo+o-o+o	(('0', '00101'))
>>+o[o<-]	(('1', '00101'))
oo+oo-o	(('0', '00110'))
-oo+oo-o	(('1', '00110'))
oo+ooo	(('0', '00111'))
-oo+ooo	(('1', '00111'))
o+o-ooo	(('0', '01000'))
-o+o-ooo	(('1', '01000'))
o+o-oo+o	(('0', '01001'))
-o+o-oo+o	(('1', '01001'))
o>>-[o<+]	(('0', '01010'))
[>+o<o-o]	(('1', '01010'))
o+o-o+oo	(('0', '01011'))
>>+[o<-]o	(('1', '01011'))
o+oo-oo	(('0', '01100'))
-o+oo-oo	(('1', '01100'))
o+oo-o+o	(('0', '01101'))
>>>+[o<-]	(('1', '01101'))
o+ooo-o	(('0', '01110'))
-o+ooo-o	(('1', '01110'))
o+oooo	(('0', '01111'))
-o+oooo	(('1', '01111'))
+o-oooo	(('0', '10000'))
o-oooo	(('1', '10000'))
+o-ooo+o	(('0', '10001'))
o-ooo+o	(('1', '10001'))
>>>-[o<+]	(('0', '10010'))
o-oo+o-o	(('1', '10010'))
+o-oo+oo	(('0', '10011'))
o-oo+oo	(('1', '10011'))
>>-[o<+]o	(('0', '10100'))
o-o+o-oo	(('1', '10100'))
[>-o<o+o]	(('0', '10101'))
o>>+[o<-]	(('1', '10101'))
+o-o+oo-o	(('0', '10110'))
o-o+oo-o	(('1', '10110'))
+o-o+ooo	(('0', '10111'))
o-o+ooo	(('1', '10111'))
+oo-ooo	(('0', '11000'))
oo-ooo	(('1', '11000'))
+oo-oo+o	(('0', '11001'))
oo-oo+o	(('1', '11001'))
>>-o[o<+]	(('0', '11010'))
oo-o+o-o	(('1', '11010'))
+oo-o+oo	(('0', '11011'))
oo-o+oo	(('1', '11011'))
+ooo-oo	(('0', '11100'))
ooo-oo	(('1', '11100'))
+ooo-o+o	(('0', '11101'))
ooo-o+o	(('1', '11101'))
+oooo-o	(('0', '11110'))
oooo-o	(('1', '11110'))
-[-[o+]]	(('', '01'), ('0', ''), ('1', ''))
+[+[o-]]	(('', '10'), ('0', ''), ('1', ''))
>[o+]	(('0', ''), ('00', '01'))
>[<+o]	(('0', ''), ('00', '10'))
->[<+o]	(('0', ''), ('10', '10'))
>o<-o	(('0', ''), ('11', '10'))
>[+o<]	(('0', ''), ('00', '11'))
>[-o<]	(('1', ''), ('11', '00'))
>[<-o]	(('1', ''), ('11', '01'))
>[o-]	(('1', ''), ('11', '10'))
<+o>o	(('', '0'), ('00', '00'))
>>+o<o	(('', '0'), ('10', '00'))
[<]+o<o	(('', '0'), ('11', '00'))
>+o-o	(('', '0'), ('10', '10'))
[o<]+o	(('', '0'), ('11', '10'))
+o>[<o]	(('', '0'), ('00', '11'))
[o>]<+o	(('', '0'), ('11', '11'))
[o>]<-o	(('', '1'), ('00', '00'))
-o>[<o]	(('', '1'), ('11', '00'))
[o<]-o	(('', '1'), ('00', '01'))
>-o+o	(('', '1'), ('01', '01'))
<-o>o	(('', '1'), ('00', '10'))
>>-o<o	(('', '1'), ('10', '10'))
[<]-o<o	(('', '1'), ('00', '11'))
>-[+o]	(('00', ''), ('01', '1'))
-[>o]	(('00', ''), ('11', '1'))
-o>-o	(('00', ''), ('1', '01'))
-<-[-o>]	(('', '00'), ('00', '0'))
>>+o<+o	(('', '00'), ('01', '0'))
<+o>+o	(('', '00'), ('10', '0'))
+[o<]>o	(('', '00'), ('11', '1'))
>+o[<]>o	(('', '00'), ('1', '01'))
<+[>]<o<o	(('', '00'), ('1', '10'))
[<+]+oo	(('', '00'), ('1', '11'))
<+o>-o	(('', '01'), ('00', '0'))
>+o+o	(('', '01'), ('10', '1'))
>+o+[<]>o	(('', '01'), ('0', '00'))
+o+[<+]+o	(('', '01'), ('0', '10'))
[<+]+o>-o	(('', '01'), ('1', '10'))
>+[<]>o<-o	(('', '01'), ('1', '11'))
>-o-o	(('', '10'), ('01', '0'))
+[<-o>+]	(('', '10'), ('00', '1'))
<-o>+o	(('', '10'), ('10', '1'))
>-[<]>o<+o	(('', '10'), ('0', '00'))
[<-]-o>+o	(('', '10'), ('0', '01'))
-o+[<+]+o	(('', '10'), ('1', '01'))
>+[<]-o>o	(('', '10'), ('1', '11'))
-[o<]>o	(('', '11'), ('00', '0'))
<-o>-o	(('', '11'), ('00', '1'))
>>-o<-o	(('', '11'), ('10', '1'))
+<+[+o>]	(('', '11'), ('11', '1'))
[<-]-oo	(('', '11'), ('0', '00'))
<-[>]<o<o	(('', '11'), ('0', '01'))
>-o[<]>o	(('', '11'), ('0', '10'))
-[-oo<-]o	(('', '00000'), ('0', ''))
-[-oo+<-]o	(('', '00001'), ('0', ''))
-[-o<+oo+o]	(('', '00010'), ('0', ''))
-[>+oo<-o]	(('', '00011'), ('0', ''))
-[-oo<-o]	(('', '00100'), ('0', ''))
-[>>+o<+o+o]	(('', '00101'), ('0', ''))
-[>+[o<-]]	(('', '00110'), ('0', ''))
-[-[oo+o]]	(('', '00111'), ('0', ''))
-[-o<-o]oo	(('', '01000'), ('0', ''))
-[-o+o<+o+]	(('', '01001'), ('0', ''))
-[>+o<o-o]	(('', '01010'), ('0', ''))
-[-o+o<-]o	(('', '01011'), ('0', ''))
-[-o<-oo]o	(('', '01100'), ('0', ''))
-[-o+o<-o]	(('', '01101'), ('0', ''))
-[-o<-ooo]	(('', '01110'), ('0', ''))
-[<+[o>]-]	(('', '01111'), ('0', ''))
-[o-ooo]	(('', '10000'), ('0', ''))
-[o>+o<-o]	(('', '10001'), ('0', ''))
-[o-o<+o+]	(('', '10010'), ('0', ''))
-[o[<]+o]	(('', '10011'), ('0', ''))
-[o-o<-]o	(('', '10100'), ('0', ''))
-o[-o+o<-]	(('', '10101'), ('0', ''))
-[o-o<-o]	(('', '10110'), ('0', ''))
-[o<+o+oo]	(('', '10111'), ('0', ''))
-[oo-o]	(('', '11000'), ('0', ''))
-[oo<+]>o	(('', '11001'), ('0', ''))
-o[o-o<-]	(('', '11010'), ('0', ''))
-[oo<+o+]	(('', '11011'), ('0', ''))
-o[oo-]	(('', '11100'), ('0', ''))
-oo[o<+o+]	(('', '11101'), ('0', ''))
-ooo[o-]	(('', '11110'), ('0', ''))
+ooo[o+]	(('', '00001'), ('1', ''))
+oo[o<-o-]	(('', '00010'), ('1', ''))
+o[oo+]	(('', '00011'), ('1', ''))
+[oo<-o-]	(('', '00100'), ('1', ''))
+o[o+o<+]	(('', '00101'), ('1', ''))
+[oo<-]>o	(('', '00110'), ('1', ''))
+[oo+o]	(('', '00111'), ('1', ''))
+[o<-o-oo]	(('', '01000'), ('1', ''))
+[o+o<+o]	(('', '01001'), ('1', ''))
+o[+o-o<+]	(('', '01010'), ('1', ''))
+[o+o<+]o	(('', '01011'), ('1', ''))
+[o[<]-o]	(('', '01100'), ('1', ''))
+[o+o<-o-]	(('', '01101'), ('1', ''))
+[o>-o<+o]	(('', '01110'), ('1', ''))
+[o+ooo]	(('', '01111'), ('1', ''))
+[<-[o>]+]	(('', '10000'), ('1', ''))
+[+o<+ooo]	(('', '10001'), ('1', ''))
+[+o-o<+o]	(('', '10010'), ('1', ''))
+[+o<+oo]o	(('', '10011'), ('1', ''))
+[+o-o<+]o	(('', '10100'), ('1', ''))
+[>-o<o+o]	(('', '10101'), ('1', ''))
+[+o-o<-o-]	(('', '10110'), ('1', ''))
+[+o<+o]oo	(('', '10111'), ('1', ''))
+[+[oo-o]]	(('', '11000'), ('1', ''))
+[>-[o<+]]	(('', '11001'), ('1', ''))
+[>>-o<-o-o]	(('', '11010'), ('1', ''))
+[+oo<+o]	(('', '11011'), ('1', ''))
+[>-oo<+o]	(('', '11100'), ('1', ''))
+[+o<-oo-o]	(('', '11101'), ('1', ''))
+[+oo-<+]o	(('', '11110'), ('1', ''))
+[+oo<+]o	(('', '11111'), ('1', ''))
>-[<+oo]	(('', '0000'), ('00', ''))
>-[-o+<-]o	(('', '0001'), ('00', ''))
->-[<-oo]	(('', '0011'), ('00', ''))
>-[<+o+o]	(('', '0101'), ('00', ''))
->-[<-o]oo	(('', '0111'), ('00', ''))
>-[o+<+]o	(('', '1001'), ('00', ''))
->-[o<-]o	(('', '1011'), ('00', ''))
->-o[o<-]	(('', '1101'), ('00', ''))
+>+[<-o]	(('00', '01'), ('01', ''))
>+oooo	(('', '0000'), ('01', ''))
>+ooo<-o	(('', '0001'), ('01', ''))
>+oo<-o>o	(('', '0010'), ('01', ''))
>+[oo+]	(('', '0011'), ('01', ''))
>+o<-o>oo	(('', '0100'), ('01', ''))
>+[<+o+o]	(('', '0101'), ('01', ''))
>+o<-oo>o	(('', '0110'), ('01', ''))
>+o<-ooo	(('', '0111'), ('01', ''))
-o>+ooo	(('', '1000'), ('01', ''))
-o>+oo<o	(('', '1001'), ('01', ''))
-o>+o<oo	(('', '1011'), ('01', ''))
-oo>+o<o	(('', '1101'), ('01', ''))
-ooo>+o	(('', '1110'), ('01', ''))
+[>oo]	(('00', '00'), ('10', ''))
+[>o<<+]	(('00', '01'), ('10', ''))
+[o>]	(('00', '10'), ('10', ''))
+ooo>-o	(('', '0001'), ('10', ''))
+oo>-o<o	(('', '0010'), ('10', ''))
+o>-o<oo	(('', '0100'), ('10', ''))
+o>-oo<o	(('', '0110'), ('10', ''))
+o>-ooo	(('', '0111'), ('10', ''))
>-o<+ooo	(('', '1000'), ('10', ''))
>-o<+oo>o	(('', '1001'), ('10', ''))
>-[<-o-o]	(('', '1010'), ('10', ''))
>-o<+o>oo	(('', '1011'), ('10', ''))
>-[oo-]	(('', '1100'), ('10', ''))
>-oo<+o>o	(('', '1101'), ('10', ''))
>-ooo<+o	(('', '1110'), ('10', ''))
>-oooo	(('', '1111'), ('10', ''))
+[-o>]	(('01', '00'), ('11', ''))
>+[-o<]	(('10', '00'), ('11', ''))
+[>-o+]	(('01', '01'), ('11', ''))
>+[<-o]	(('10', '01'), ('11', ''))
>+[o-]	(('10', '10'), ('11', ''))
+>+o[o<+]	(('', '0010'), ('11', ''))
+>+[o<+]o	(('', '0100'), ('11', ''))
>+[o-<-]o	(('', '0110'), ('11', ''))
+>+[<+o]oo	(('', '1000'), ('11', ''))
>+[<-o-o]	(('', '1010'), ('11', ''))
+>+[<+oo]	(('', '1100'), ('11', ''))
>+[+o-<+]o	(('', '1110'), ('11', ''))
>+[<-oo]	(('', '1111'), ('11', ''))
>>>+oo	(('', '00'), ('0001', ''))
>>>+o<-o	(('', '01'), ('0001', ''))
>>+o>-o	(('', '01'), ('0010', ''))
>>-o>+o	(('', '10'), ('1101', ''))
>>>-o<+o	(('', '10'), ('1110', ''))
>>>-oo	(('', '11'), ('1110', ''))
>ooooo	(('10', '00000'))
oooo>o	(('01', '00001'))
>oooo<o	(('10', '00001'))
-oooo>o	(('11', '00001'))
ooo+o>o	(('00', '00010'))
ooo>o<o	(('01', '00010'))
>ooo<o>o	(('10', '00010'))
-ooo>o<o	(('11', '00010'))
ooo>oo	(('01', '00011'))
>ooo<oo	(('10', '00011'))
-ooo>oo	(('11', '00011'))
oo+o>oo	(('00', '00100'))
oo>o<oo	(('01', '00100'))
>oo<o>oo	(('10', '00100'))
[-oo>o]	(('11', '00100'))
o[o+o>]	(('00', '00101'))
oo>o<o>o	(('01', '00101'))
-o[o+o>]	(('10', '00101'))
-oo>o<o>o	(('11', '00101'))
oo+oo>o	(('00', '00110'))
oo>oo<o	(('01', '00110'))
>oo<oo>o	(('10', '00110'))
-oo>oo<o	(('11', '00110'))
oo>ooo	(('01', '00111'))
>oo<ooo	(('10', '00111'))
-oo>ooo	(('11', '00111'))
o+o>ooo	(('00', '01000'))
o>o<ooo	(('01', '01000'))
>o<o>ooo	(('10', '01000'))
-o>o<ooo	(('11', '01000'))
[o+o>o]	(('00', '01001'))
o>o<oo>o	(('01', '01001'))
-[o+o>o]	(('10', '01001'))
o[+o-o>]	(('00', '01010'))
o+[o-o>]	(('01', '01010'))
>o+[o-o<]	(('10', '01010'))
<-[-o>o]	(('11', '01010'))
o+o>o<oo	(('00', '01011'))
<+[o+o>]	(('01', '01011'))
>[o+o<-]	(('10', '01011'))
>-[o+o<-]	(('11', '01011'))
>[o<+o]	(('00', '01100'))
o>oo<oo	(('01', '01100'))
<+[o>o]	(('10', '01100'))
-o>oo<oo	(('11', '01100'))
o+oo>o<o	(('00', '01101'))
o>oo<o>o	(('01', '01101'))
>o>-o[o<]	(('10', '01101'))
[-o+o>o]	(('11', '01101'))
o+ooo>o	(('00', '01110'))
o>ooo<o	(('01', '01110'))
